source_type	url_or_id	dest_relpath	size_gb	license	features_using	notes
roboflow	https://universe.roboflow.com/harnessafesite/shoe_ppe	raw/shoes_detection/shoe_ppe	0.3	CC-BY-4.0	ppe-shoes_detection
# ============================================================================
# Fall datasets (classification + pose)
# ============================================================================
kaggle	asad11914/coco-2017-keypoints	raw/fall_detection/coco_keypoints	18	CC-BY-4.0	safety-fall_classification,safety-fall_pose_estimation
roboflow	https://universe.roboflow.com/roboflow-universe-projects/fall-detection-ca3o8	raw/fall_detection/roboflow_fall	1.2	CC-BY-4.0	safety-fall_classification,safety-fall_pose_estimation
kaggle	simuletic/cctv-incident-dataset-fall-and-lying-down-detection	raw/fall_detection/cctv_fall	0.6	CC-BY-4.0	safety-fall_classification,safety-fall_pose_estimation
github	http://fenix.ur.edu.pl/~mkepski/ds/data/Fall_DVDSD.zip	raw/fall_detection/ur_fall	2.0	research-only	safety-fall_classification,safety-fall_pose_estimation	[URFall — academic; may require form]
# ============================================================================
# Phone detection datasets
# ============================================================================
github	https://github.com/AstraBert/FPI-Det/releases/download/v1.0/fpi_det.zip	raw/phone_detection/fpi_det	5.5	Apache-2.0	safety-phone_detection
roboflow	https://universe.roboflow.com/phoneusagedetection/phone-call-usage	raw/phone_detection/phone_call_usage	0.4	CC-BY-4.0	safety-phone_detection
# ============================================================================
# Light fixtures (only used as tests/, public; keep as optional)
# ============================================================================
hf	lmms-lab/COCO	raw/_coco_val	0.8	CC-BY-4.0	access-zone_intrusion	[COCO val2017 for zone intrusion pretrained eval]
# ============================================================================
# Internal / non-reproducible (rsync_only) — flagged, not downloaded
# ============================================================================
rsync_only	ssh-sg4:ai/dataset_store/site_collected/fire_detection	site_collected/fire_detection	—	internal	safety-fire_detection	[internal — Nitto Denko site footage]
rsync_only	ssh-sg4:ai/dataset_store/site_collected/helmet_detection	site_collected/helmet_detection	—	internal	ppe-helmet_detection	[internal — Nitto Denko site footage]
rsync_only	ssh-sg4:ai/dataset_store/site_collected/shoes_detection	site_collected/shoes_detection	—	internal	ppe-shoes_detection	[internal — Nitto Denko site footage]
rsync_only	ssh-sg4:ai/dataset_store/site_collected/fall_detection	site_collected/fall_detection	—	internal	safety-fall_classification,safety-fall_pose_estimation	[internal — Nitto Denko site footage]
rsync_only	ssh-sg4:ai/dataset_store/site_collected/phone_detection	site_collected/phone_detection	—	internal	safety-phone_detection	[internal — Nitto Denko site footage]
rsync_only	ssh-sg4:ai/dataset_store/site_collected/test_video	site_collected/test_video	—	internal	_all	[internal — Nitto Denko demo video]
rsync_only	ssh-sg4:ai/dataset_store/training_ready	training_ready	—	internal-derived	_all	[derived training splits — rebuild via p00_data_prep from raw/ + site_collected/]
rsync_only	ssh-sg4:ai/dataset_store/raw/fire_detection/fire_cctv	raw/fire_detection/fire_cctv	—	internal	safety-fire_detection	[internal curated CCTV clips]
rsync_only	ssh-sg4:ai/dataset_store/raw/fire_detection/fire_smoke_datacluster	raw/fire_detection/fire_smoke_datacluster	—	internal-sample	safety-fire_detection	[Datacluster sample — licence unclear]
rsync_only	ssh-sg4:ai/dataset_store/raw/fire_detection/industrial_hazards	raw/fire_detection/industrial_hazards	—	internal	safety-fire_detection
rsync_only	ssh-sg4:ai/dataset_store/raw/fall_detection/fall_detection_imgs	raw/fall_detection/fall_detection_imgs	—	internal	safety-fall_classification,safety-fall_pose_estimation
rsync_only	ssh-sg4:ai/dataset_store/raw/helmet_detection/construction_safety	raw/helmet_detection/construction_safety	—	internal-derived	ppe-helmet_detection	[Roboflow export — license requires verify]
rsync_only	ssh-sg4:ai/dataset_store/raw/phone_detection/action_recognition	raw/phone_detection/action_recognition	—	internal	safety-phone_detection
rsync_only	ssh-sg4:ai/dataset_store/raw/phone_detection/mobile_phone	raw/phone_detection/mobile_phone	—	internal	safety-phone_detection
rsync_only	ssh-sg4:ai/pretrained/nitto_denko	nitto_denko	—	internal	_all	[internal — Nitto-specific baseline weights]
rsync_only	ssh-sg4:ai/pretrained/smart_parking	smart_parking	—	internal	_all	[internal — smart_parking checkpoints]
